,Dónde estás trabajando,Cantidad de personas en tu organización,Actividad principal,Salario mensual o retiro BRUTO (en tu moneda local),Años de experiencia,Años en la empresa actual,Años en el puesto actual,¿Gente a cargo?,Plataformas,Lenguajes de programación o tecnologías.,"Frameworks, herramientas y librerías",Bases de datos,QA / Testing,IDEs,Beneficios extra
614,Entre Ríos,501-1000,Producto basado en Software,2478,9578,1555,5847,2210,"Amazon Web Services,IBM Cloud / Watson","Assembler,COBOL,Python,Solidity",Rails,"Amazon Redshift,Informix,Microsoft Azure (Tables, CosmosDB, SQL, etc),Teradata","HP UFT,Katalon",Atom,"Sueldo divido en dos pagos por mes,Viáticos"
615,La Pampa,501-1000,Producto basado en Software,9403,2048,3243,7000,8911,"OpenShift,SAP",Matlab,"Hadoop,Hibernate,Node.js","Cassandra,PostgreSQL,Teradata","Cucumber,Cypress,Mocha,Silktest",NetBeans,Abono de Internet
616,Tucumán,10001+,Otras industrias,1431,4468,6191,7927,9826,,".NET,Arduino,C#,Delphi,Erlang,Kotlin,Ruby,Scala,Solidity,VBA","Cordova,jQuery,React.js","Apache HBase,Percona Server,Sybase","Appium,Telerik Studio","Nano,TextMate,Vim",Lactario en la oficina
617,Entre Ríos,10001+,Servicios / Consultoría de Software / Digital,6130,9400,3666,9597,2885,"Amazon Web Services,Serverless","Elixir,TypeScript","Django,React.js","Percona XtraDB Cluster,PostgreSQL","Karma,Katalon","PHPStorm,Vim","Descuento en gimnasios / Clases de gimnasia online,Horarios flexibles"
618,Santiago del Estero,5001-10000,Servicios / Consultoría de Software / Digital,2446,9167,7297,8265,2078,Amazon Web Services,Erlang,"CodeIgniter,Torch","Amazon Redshift,Microsoft Azure (Tables, CosmosDB, SQL, etc)","Cypress,HP LoadRunner","Coda,Nano",
619,Santa Cruz,1001-2000,Otras industrias,5512,3270,8639,4834,5724,"Arduino o similar,OpenStack,Solaris","Dart,Go",".NET Core,Bootstrap,Hibernate","Amazon DynamoDB,Amazon Redshift,Cassandra,MariaDB",Test Complete,"IntelliJ,Vi,Vim","Comidas pagas / subvencionadas,Licencia de paternidad / maternidad extendida,Stock options / RSUs"
620,GBA,2001-5000,Servicios / Consultoría de Software / Digital,5113,6802,4137,2,8931,"Azure,Heroku,Kubernetes",,"Laravel,Rails",ProxySQL,,Atom,"Abono de celular,Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc),Sueldo divido en dos pagos por mes,Viáticos"
621,La Pampa,2-10,Servicios / Consultoría de Software / Digital,4587,5514,4,3321,4851,HP-UX,"Matlab,Smalltalk","Django,Flask,Symfony","ProxySQL,SQLite","Lippia,OpenQA,Telerik Studio","IntelliJ,PyCharm,Vim","Clases de idiomas,Horarios flexibles"
622,Entre Ríos,10001+,Servicios / Consultoría de Software / Digital,6699,6973,4702,2561,7953,"SAP,Serverless,VMWare",Perl,"Django,Rails,Spark,WordPress",Redis,"Appium,Cucumber,HP LoadRunner,Jest,Lippia",,"Descuento en gimnasios / Clases de gimnasia online,Clases de idiomas,Vacaciones flexibles (adicionales a las reglamentarias),Viáticos"
623,Salta,10001+,Producto basado en Software,9380,5525,22,4212,2684,"OpenShift,Solaris","Clojure,Dart,Python,Ruby,Rust,TypeScript",".NET Core,Bootstrap,Drupal,Hadoop,jQuery,Vue.js,WordPress",Apache Hive,,"IntelliJ,Xcode",Sueldo divido en dos pagos por mes
624,Catamarca,11-50,Otras industrias,9972,2182,8119,5109,1182,"Firebase,SAP","Dart,Delphi,SQL,Swift",".NET Core,CodeIgniter,Cordova,Flutter,SAP","Percona XtraDB Cluster,PostgreSQL,Sybase",Selenium,"IntelliJ,PHPStorm,WebStorm,Xcode","Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc),Lactario en la oficina,Stock options / RSUs,Viáticos"
625,Formosa,1001-2000,Servicios / Consultoría de Software / Digital,3405,8054,2095,7033,7678,VMWare,"Assembler,C++,COBOL,Dart,Delphi,Swift","jQuery,SwiftUI,Spring,Torch",,Cypress,IPython / Jupyter,Comidas pagas / subvencionadas
626,Río Negro,201-500,Otras industrias,587,7357,4203,8038,1969,"Azure,Heroku,VMWare","ABAP,C#,Go,TypeScript",".NET Core,Spring","Cassandra,Neo4j,PostgreSQL,Teradata","OpenQA,Telerik Studio,Visual Studio Coded UI",Nano,"Capacitaciones y/o cursos,Viáticos"
627,Neuquén,5001-10000,Otras industrias,4068,769,4969,759,2960,"Amazon Web Services,Kubernetes","Assembler,Clojure,CSS,Dart,Groovy,SQL,Swift","Drupal,Hadoop,Symfony","Redis,Teradata","HP LoadRunner,Jest,OpenQA,Test Complete","PHPStorm,Visual Studio","Descuento en gimnasios / Clases de gimnasia online,Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc),Horarios flexibles,Licencia de paternidad / maternidad extendida,Vacaciones flexibles (adicionales a las reglamentarias)"
628,La Rioja,1 (solamente yo),Servicios / Consultoría de Software / Digital,5226,5101,4790,2526,4225,OpenStack,"Assembler,Java,Javascript,Matlab,Swift,VBA","Flutter,Node.js","IBM Db2,PostgreSQL,ProxySQL","Karma,OpenQA,Ranorex,RSpec,Silktest,Test Complete,Visual Studio Coded UI,Xunit","Android Studio,IntelliJ,Nano,PHPStorm","Comidas pagas / subvencionadas,Cuota para universidad / posgrados"
629,San Juan,201-500,Producto basado en Software,9545,5103,8355,566,6163,Arduino o similar,"CSS,R","Bootstrap,Hadoop,Laravel,Spring","Apache HBase,Google Cloud Storage,HANA,Microsoft SQL Server,Percona XtraBackup","HP LoadRunner,HP UFT,Puppeteer,RSpec","Android Studio,Vim,Visual Studio",
630,La Pampa,5001-10000,Producto basado en Software,3699,7059,4199,7526,2158,,"COBOL,R,Scala","Django,Drupal,Flutter,TensorFlow,WordPress","Amazon DynamoDB,ElasticSearch,Microsoft SQL Server","SoapUI,Watir","Nano,PyCharm,Visual Studio Code",Stock options / RSUs
631,GBA,2-10,Otras industrias,1834,4942,7964,6514,8379,Amazon Web Services,"CSS,Delphi,Java","jQuery,SwiftUI","Microsoft SQL Server,MongoDB","Katalon,Selenium","IPython / Jupyter,Notepad++","Descuento en gimnasios / Clases de gimnasia online,Comidas pagas / subvencionadas"
632,Chaco,10001+,Otras industrias,6916,1954,7003,5381,5463,OpenShift,"Bash/Shell,Clojure,Elixir,Matlab,Ruby","SwiftUI,Torch","Cassandra,MariaDB,PostgreSQL,Teradata",,"PHPStorm,Visual Studio",Abono de celular
633,Chubut,2001-5000,Producto basado en Software,9789,2676,9385,3425,4941,"Amazon Web Services,*BSD","C++,Rust","CodeIgniter,Torch","MariaDB,ProxySQL","Cucumber,Cypress","IPython / Jupyter,Vim,Xcode",
634,Santiago del Estero,501-1000,Producto basado en Software,5182,9831,1584,2772,4263,"AIX,Firebase,Google Cloud Platform/App Engine","Go,Elixir,Java,Javascript,SQL",".NET Core,Akka,Rails,WordPress","Percona Server,Sybase","HP LoadRunner,Selenium,SoapUI","IPython / Jupyter,NetBeans",Horarios flexibles
635,GBA,1 (solamente yo),Servicios / Consultoría de Software / Digital,4342,2874,9829,618,6941,"Azure,Kubernetes","Java,Kotlin,Matlab,Objective-C",CodeIgniter,,"Appium,Karma,NUnit","IPython / Jupyter,PHPStorm","Abono de celular,Clases de idiomas,Cuota para universidad / posgrados"
636,Ciudad Autónoma de Buenos Aires,201-500,Producto basado en Software,2432,7602,321,521,8635,"Azure,Heroku,Kubernetes",ABAP,"Flutter,SwiftUI","MariaDB,Percona XtraDB Cluster","Jest,Lippia,SoapUI,Telerik Studio,Watir","Coda,Eclipse,Vim,Visual Studio",Stock options / RSUs
637,Mendoza,10001+,Producto basado en Software,670,5206,450,5697,578,"Amazon Web Services,Arduino o similar","Dart,Perl,Python","Angular,Spark","Amazon DynamoDB,Amazon Redshift,Informix,MongoDB,PostgreSQL,Redis","SoapUI,Test Complete,Xunit",IntelliJ,
638,Santiago del Estero,11-50,Otras industrias,4090,8425,9223,6557,8315,"OpenShift,Windows Server","Assembler,Java,Kotlin","Akka,Hadoop,Symfony,WordPress","MySQL,Teradata",Telerik Studio,"Komodo,Vi",Sueldo divido en dos pagos por mes
639,Chaco,1 (solamente yo),Producto basado en Software,9806,1217,4729,3455,9656,Kubernetes,Scala,"Flutter,Node.js,Rails,React.js","Amazon RDS/Aurora,SQLite","HP LoadRunner,JUnit,Puppeteer,Silktest,Xunit","Eclipse,PHPStorm","Abono de celular,Descuento en gimnasios / Clases de gimnasia online,Clases de idiomas"
640,Santiago del Estero,1 (solamente yo),Servicios / Consultoría de Software / Digital,1097,5293,8906,2576,1075,SAP,,"Akka,Bootstrap,Django,Flutter,Laravel,SAP,Vue.js,WordPress",MySQL,"Cucumber,Cypress,HP UFT,Mocha",Emacs,
641,La Pampa,2001-5000,Producto basado en Software,222,771,6190,9433,1895,"*BSD,Firebase,Linux,OpenShift","Rust,SQL,Swift","Node.js,WordPress","Apache HBase,MariaDB","Appium,Lippia,Test Complete,Watir",Android Studio,Viáticos
642,Provincia de Buenos Aires,1001-2000,Otras industrias,5298,3067,9595,9907,4539,Solaris,.NET,React.js,"Amazon Redshift,Apache Hive,HANA,MongoDB,MySQL","Cypress,Karma,NUnit,Telerik Studio","Android Studio,Emacs,Notepad++,WebStorm,Xcode",
643,Mendoza,501-1000,Producto basado en Software,9180,954,4723,7843,1927,Microcontroladores,"Clojure,Matlab,Swift,VBA",".NET Core,Cordova,Hadoop,SwiftUI,SAP","Amazon RDS/Aurora,Cassandra,MySQL,SQLite","Appium,HP UFT",Xcode,"Lactario en la oficina,Sueldo divido en dos pagos por mes"
644,Entre Ríos,1 (solamente yo),Servicios / Consultoría de Software / Digital,7544,7023,5384,8645,5752,"Docker,VMWare",".NET,Kotlin","Node.js,TensorFlow","Amazon RDS/Aurora,ElasticSearch","HP LoadRunner,OpenQA,SoapUI,Watir","Komodo,Vim","Abono de celular,Licencia de paternidad / maternidad extendida"
645,Misiones,51-100,Producto basado en Software,6847,4689,6009,6684,4287,"Kubernetes,Windows Server","C++,Javascript","Akka,Cordova,Flutter","Apache HBase,Redis","Cypress,Ranorex,Selenium,Xunit","Nano,Vi","Descuento en gimnasios / Clases de gimnasia online,Comidas pagas / subvencionadas"
646,La Pampa,51-100,Otras industrias,6541,5438,5305,6633,1721,"Amazon Web Services,Arduino o similar,Google Cloud Platform/App Engine,IBM Cloud / Watson","Assembler,R,Swift","TensorFlow,WordPress","Google Cloud Storage,Informix",OpenQA,"Android Studio,Eclipse,RStudio,Vim",Horarios flexibles
647,La Rioja,2-10,Servicios / Consultoría de Software / Digital,785,9867,6326,6740,8831,HP-UX,,"Angular,jQuery,Node.js,Torch","Amazon DynamoDB,Amazon Redshift,Amazon RDS/Aurora,HANA",,"Komodo,Vim",
648,Misiones,2-10,Producto basado en Software,6726,5475,6020,5907,2504,SAP,"Assembler,Delphi,R",Symfony,"Amazon RDS/Aurora,IBM Db2",Test Complete,"PyCharm,Sublime Text,Zend","Abono de celular,Comidas pagas / subvencionadas"
649,Entre Ríos,1 (solamente yo),Producto basado en Software,5231,3991,7573,3724,2160,"Arduino o similar,OpenShift,SAP,Serverless","Delphi,Groovy,Objective-C","CodeIgniter,Torch",Aerospike,"JUnit,PHPUnit,Postman,Visual Studio Coded UI","Nano,Sublime Text,Zend",
650,Catamarca,2-10,Servicios / Consultoría de Software / Digital,392,1277,4392,3733,3518,"HP-UX,OpenShift","C,C++,Python,Solidity,Swift",".NET Core,Akka,Bootstrap",Apache HBase,Visual Studio Coded UI,"Notepad++,TextMate","Comidas pagas / subvencionadas,Stock options / RSUs"
651,Santiago del Estero,2-10,Producto basado en Software,926,352,4407,288,1825,,"Erlang,PHP,Scala","Akka,Flask,Laravel,Torch,WordPress","ElasticSearch,HANA,Microsoft SQL Server,Percona XtraDB Cluster","Appium,RSpec","Atom,IntelliJ,Nano,Vi",Abono de Internet
652,Misiones,1001-2000,Producto basado en Software,1393,8428,3403,8474,3439,"AIX,Docker,SAP","C,Groovy,Python",".NET Core,Akka,Drupal,Flask,Vue.js","Amazon Redshift,IBM Db2,Percona Server",SoapUI,"Komodo,Xcode","Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc),Vacaciones flexibles (adicionales a las reglamentarias)"
653,Chaco,5001-10000,Otras industrias,1168,1402,7876,8110,3106,,"ABAP,C,CSS,Go,HTML,Rust",Angular,"Aerospike,Apache HBase,Percona XtraDB Cluster",Test Complete,"PyCharm,Sublime Text","Capacitaciones y/o cursos,Viáticos"
654,San Luis,501-1000,Servicios / Consultoría de Software / Digital,3824,8091,3940,4049,4635,"*BSD,Windows Server",".NET,COBOL,Rust,Scala,Swift",Angular,Teradata,RSpec,,Lactario en la oficina
655,Misiones,2-10,Producto basado en Software,8352,3438,9042,8134,1607,IBM Cloud / Watson,"Delphi,Elixir,Ruby","Hadoop,Symfony",,Postman,Vi,
656,Mendoza,501-1000,Servicios / Consultoría de Software / Digital,1643,230,1770,5480,468,Windows Server,"C,Elixir,Rust,VBA",.NET Core,"Aerospike,MariaDB,MySQL","Mocha,Xunit","Atom,IPython / Jupyter,Nano,Notepad++,PHPStorm,Vi","Horarios flexibles,Stock options / RSUs"
657,Provincia de Buenos Aires,1 (solamente yo),Otras industrias,6421,7777,5068,6195,6379,"AIX,IBM Cloud / Watson","CSS,Delphi,Go,Java","Bootstrap,Symfony","Google Cloud Storage,MongoDB,Teradata","Katalon,Ranorex,Telerik Studio","IntelliJ,Komodo,PHPStorm",Horarios flexibles
658,Tierra del Fuego,10001+,Otras industrias,9211,5284,5033,7199,2661,,"C++,Clojure,COBOL,VBA","Django,Drupal","IBM Db2,Neo4j","HP UFT,Visual Studio Coded UI","Eclipse,NetBeans,PyCharm,RStudio,Visual Studio","Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc)"
659,Neuquén,11-50,Servicios / Consultoría de Software / Digital,2302,4738,1814,3026,4695,"IBM Cloud / Watson,Microcontroladores,Serverless","Kotlin,Smalltalk,Solidity,Swift,TypeScript","Drupal,Hadoop","Amazon RDS/Aurora,Percona XtraBackup",,"Notepad++,Visual Studio Code,Zend",Comidas pagas / subvencionadas
660,Tucumán,10001+,Otras industrias,2640,4532,6667,9496,5004,"Microcontroladores,OpenShift","Groovy,Java,Smalltalk","CodeIgniter,SAP,Symfony","Amazon DynamoDB,Informix,PostgreSQL","Mocha,Visual Studio Coded UI,Xunit","Atom,Komodo,TextMate","Abono de celular,Capacitaciones y/o cursos,Descuento en gimnasios / Clases de gimnasia online,Clases de idiomas"
661,Salta,1001-2000,Otras industrias,792,2845,8379,1825,5209,"Firebase,Google Cloud Platform/App Engine","Arduino,C++,C#,Delphi,Groovy,Erlang,Javascript,Matlab,Solidity,Swift","Cordova,React.js,Vue.js",Informix,,,
662,Córdoba,501-1000,Otras industrias,7086,3859,7158,4602,4562,Microcontroladores,"Dart,Smalltalk,Solidity,Swift","Akka,Angular,Bootstrap,jQuery,Laravel,Spring,Torch","Google Cloud Storage,MariaDB",Puppeteer,"Android Studio,Notepad++,WebStorm,Xcode","Capacitaciones y/o cursos,Cuota para universidad / posgrados"
663,Chubut,501-1000,Producto basado en Software,4135,2122,4253,1721,7838,VMWare,"SQL,TypeScript","Laravel,Rails,Symfony,TensorFlow,Torch","IBM Db2,Microsoft Azure (Tables, CosmosDB, SQL, etc)","Karma,Mocha,Ranorex,Selenium,Silktest,Test Complete",RStudio,
664,La Pampa,501-1000,Servicios / Consultoría de Software / Digital,9477,5251,3419,1804,3486,,"Arduino,Erlang,Ruby,Smalltalk,Swift",".NET Core,TensorFlow","Apache HBase,HANA,MariaDB,PostgreSQL,ProxySQL","Cypress,Xunit",Emacs,
665,Entre Ríos,101-200,Servicios / Consultoría de Software / Digital,4854,9662,6635,9744,2550,Linux,"Groovy,Java,Matlab,Perl","Cordova,SwiftUI,Torch,WordPress","IBM Db2,Neo4j,Teradata","Silktest,Xunit",Nano,"Capacitaciones y/o cursos,Viáticos"
666,Tucumán,51-100,Servicios / Consultoría de Software / Digital,9,824,2885,8161,4584,"Amazon Web Services,Arduino o similar,Heroku,HP-UX,Solaris,Windows Server",Dart,"Django,React.js",HANA,Karma,"Coda,IntelliJ","Comidas pagas / subvencionadas,Licencia de paternidad / maternidad extendida"
667,Corrientes,1001-2000,Servicios / Consultoría de Software / Digital,9899,6059,2394,9089,8457,"AIX,OpenShift,OpenStack",".NET,Erlang,Matlab,TypeScript",".NET Core,TensorFlow,Torch","Amazon DynamoDB,HANA,Teradata",,"Coda,Emacs,Nano,Notepad++,Visual Studio Code","Clases de idiomas,Vacaciones flexibles (adicionales a las reglamentarias)"
668,Santiago del Estero,11-50,Otras industrias,5904,4247,6040,5175,2131,"Docker,Kubernetes,SAP",".NET,COBOL,Dart,HTML,Kotlin,Matlab,Objective-C,R,TypeScript","Flutter,SwiftUI,SAP","Amazon DynamoDB,Amazon Redshift,Google Cloud Storage","HP UFT,Jest,JUnit,Lippia,SoapUI","PyCharm,RStudio,Visual Studio Code",Comidas pagas / subvencionadas
669,Tucumán,501-1000,Servicios / Consultoría de Software / Digital,2387,5569,461,8995,5804,"Amazon Web Services,Docker","Clojure,R,Solidity,VBA","Hibernate,SAP",Microsoft SQL Server,"OpenQA,Selenium","Android Studio,Sublime Text","Clases de idiomas,Cuota para universidad / posgrados,Vacaciones flexibles (adicionales a las reglamentarias)"
670,Mendoza,5001-10000,Servicios / Consultoría de Software / Digital,5022,4985,896,9003,1847,"Mainframe,Windows Server",VBA,React.js,"Percona XtraBackup,PostgreSQL,Sybase",Jest,Android Studio,Cuota para universidad / posgrados
671,Tucumán,5001-10000,Servicios / Consultoría de Software / Digital,8500,6681,3475,4341,47,Serverless,Bash/Shell,"Spring,WordPress",ProxySQL,"HP LoadRunner,HP UFT,Lippia,Karma,Ranorex,Xunit","PHPStorm,Vim","Cuota para universidad / posgrados,Stock options / RSUs,Sueldo divido en dos pagos por mes"
672,Chubut,2-10,Servicios / Consultoría de Software / Digital,4470,695,457,6222,3013,"Docker,SAP","Clojure,Dart,Kotlin","Angular,Flutter,Rails,WordPress","Amazon Redshift,Informix,PostgreSQL,Teradata","RSpec,Selenium","Komodo,PHPStorm",Cuota para universidad / posgrados
673,Santiago del Estero,11-50,Servicios / Consultoría de Software / Digital,576,5678,2397,8481,9869,Microcontroladores,"C#,Clojure,HTML,Javascript,Scala,Solidity,SQL","Flutter,jQuery,Vue.js","Aerospike,Google Cloud Storage,Informix,MySQL,Percona XtraDB Cluster","SoapUI,Visual Studio Coded UI","Android Studio,Emacs,IntelliJ,Sublime Text","Estacionamiento gratuito / subvencionado,Licencia de paternidad / maternidad extendida"
674,Corrientes,101-200,Servicios / Consultoría de Software / Digital,9432,2400,3389,9534,6566,,"Arduino,Go,Scala","Flutter,Node.js,React.js,Vue.js","Google Cloud Storage,Informix,Redis,Teradata","Lippia,Karma,Mocha,Puppeteer,Watir","PyCharm,Vi",
675,Entre Ríos,5001-10000,Producto basado en Software,858,3559,4210,2021,2635,"Heroku,Serverless,Windows Server","CSS,Erlang,Objective-C,Perl,Ruby,SQL","Hadoop,Spark,Torch","Microsoft SQL Server,Percona XtraDB Cluster","Karma,Test Complete,Visual Studio Coded UI,Xunit","Android Studio,Atom,Nano",
676,Chaco,501-1000,Otras industrias,9127,2044,8315,2275,932,"Mainframe,OpenStack,VMWare","Groovy,Java,Ruby","Drupal,SwiftUI,Spring","IBM Db2,Neo4j","Jest,JUnit,Karma,NUnit,Selenium,Silktest,Telerik Studio,Watir","Nano,Vi","Abono de Internet,Capacitaciones y/o cursos"
677,Salta,2-10,Otras industrias,5535,1165,8434,1662,405,"*BSD,IBM Cloud / Watson","C++,Clojure,Kotlin,PHP,Scala","jQuery,Node.js","MariaDB,Teradata","JUnit,Katalon,Mocha,OpenQA,Postman","IPython / Jupyter,Visual Studio,Xcode",
678,Río Negro,11-50,Otras industrias,6110,8905,5717,6009,420,Serverless,"Delphi,Javascript,Matlab,Smalltalk","Bootstrap,Cordova,Flask","Informix,Percona XtraBackup","JUnit,PHPUnit,RSpec",Sublime Text,"Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc),Vacaciones flexibles (adicionales a las reglamentarias)"
679,Catamarca,1001-2000,Servicios / Consultoría de Software / Digital,7910,2594,7529,5993,7971,Firebase,"Assembler,C++,Elixir,Rust,SQL,VBA","Cordova,Laravel","MariaDB,Microsoft SQL Server","NUnit,PHPUnit,SoapUI","Coda,Visual Studio Code,WebStorm",
680,Tierra del Fuego,201-500,Producto basado en Software,3688,5964,357,9669,4639,,"C#,Rust,Scala","Akka,Flutter,Hadoop,Hibernate,Spark,Torch,WordPress",Apache Hive,"JUnit,Karma,Selenium,SoapUI","Coda,Komodo,Notepad++",Horarios flexibles
681,Santiago del Estero,51-100,Otras industrias,3284,603,3542,1887,7090,"IBM Cloud / Watson,Mainframe","CSS,HTML,Objective-C,Python,Scala","Angular,Hibernate,Node.js,React.js,WordPress",PostgreSQL,,"Coda,Emacs,Komodo","Capacitaciones y/o cursos,Cuota para universidad / posgrados"
682,San Luis,101-200,Otras industrias,5575,4232,9380,8172,7965,"Amazon Web Services,Mainframe","C,Clojure,HTML","Drupal,Flask,jQuery,React.js","Aerospike,MongoDB,Percona XtraBackup","Cypress,Karma,Ranorex","Eclipse,Vi","Cuota para universidad / posgrados,Sueldo divido en dos pagos por mes"
683,Entre Ríos,10001+,Servicios / Consultoría de Software / Digital,2368,598,1097,6385,9291,"Linux,Mainframe,OpenShift",Bash/Shell,Bootstrap,,"HP LoadRunner,Jest",PHPStorm,"Abono de celular,Vacaciones flexibles (adicionales a las reglamentarias)"
684,Chubut,2-10,Producto basado en Software,2327,5518,1685,8432,7327,"Kubernetes,OpenShift,Serverless","C,Scala",SwiftUI,"Microsoft Azure (Tables, CosmosDB, SQL, etc),PostgreSQL,Redis,SQLite","JUnit,Telerik Studio,Test Complete","Atom,Emacs,Nano",
685,Chubut,101-200,Otras industrias,8910,4110,8219,6136,6045,"AIX,Amazon Web Services,Firebase,OpenStack","Clojure,HTML,Java,Ruby,Smalltalk","Akka,Django,Flutter,Spring","Amazon Redshift,Cassandra,Oracle,Sybase",Karma,Vim,Licencia de paternidad / maternidad extendida
686,Entre Ríos,11-50,Producto basado en Software,5335,2481,8689,7935,9569,,"C++,Elixir,Objective-C,PHP,SQL","Bootstrap,Flutter,Rails",MongoDB,"Cypress,JUnit,Karma,Mocha,NUnit","Coda,PyCharm,Vim","Abono de celular,Capacitaciones y/o cursos,Stock options / RSUs"
687,Santiago del Estero,51-100,Producto basado en Software,3517,8469,784,4817,8398,"AIX,Docker,Serverless",,"Drupal,Hibernate",SQLite,"PHPUnit,Telerik Studio,Test Complete","Eclipse,Emacs,TextMate,Xcode","Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc),Licencia de paternidad / maternidad extendida"
